Sakoen,Pronunciation,Part of speech,English
kinoarvai,/kinoaɾvaɟ/,nin.,runner
kinshiir,/kinʃiiɾ/,nin.,crack; fracture
kinshiir,/kinʃiiɾ/,v.,crack
kiopksu,/kiopksu/,nan.,criminal
kios,/kios/,nin.,hip
kiottei,/kiotteɟ/ [kioteɟ],adj.,close; accurate
kiottejom,/kiotteɟom/ [kioteɟom],v.,approach
kipam,/kipam/,nan.,driver
kireb,/kiɾeb/,nan.,worker; employee
kirjan,/kiɾɟan/,nan.,pedestrian
kirpallo,/kiɾpaʎʎo/ [kiɾpaʎo],v.,shrug
kirshatal,/kiɾʃataʎ/,nin.,expression (facial)
kirutiim,/kiɾutiim/,nin.,shield
kishideep,/kiʃideep/,nan.,artist
kison,/kison/,v.,wrap; drape
kititebsot,/kititebsot/,nan.,manager
kiuitil,/kiuɟtiʎ/,nan.,author; writer
kiuitil ksuasel,/kiuɟtiʎ ksuaseʎ/,nin.,copyright
kiulti,/kiuʎti/,nin.,drain
kiun,/kiun/,nan.,chef; cook
kivhijovush,/kiɸiɟovuʃ/,nan.,vendor
kivhujeuk,/kiɸuɟeuk/,nan.,singer
kivui,/kivuɟ/,nin.,faith
kivushu,/kivuʃu/,nan.,scientist
kiwodevhan,/kiwodeɸan/,nin.,dealer
kiz,/kiθ/ [kis],v.,compel; oblige
kizozui,/kiθoθuɟ/,nan.,slave
ko,/ko/,det.,what
ko,/ko/,pron.,what
kobich,/kobiʧ/,nin.,crab
kobsa,/kobsa/,nin.,ditch
koc / egorec,/koc / eɣoɾec/ [kos / eɣoɾes],pron.,I; me; mine
kodaka,/kodaka/,nin.,weather
kodot,/kodot/,nin.,budget
koez,/koeθ/ [koes],nin.,trigger
koi,/koɟ/,nin.,origin
kokse,/kokse/,nin.,citadel
koksoro,/koksoɾo/,nin.,fraud
konivhac'a,/koniɸaʧa/,v.,weigh
konivhach,/koniɸaʧ/,nin.,weight
konksa,/konksa/,v.,marinate
kosneshu,/kosneʃu/,adj.,medium
kosooh,/kosooh/ [kosoː],adj.,fresh
kot,/kot/,nin.,trade
kovavhu,/kovaɸu/,nin.,perfection
kovavhuvh,/kovaɸuɸ/,adj.,perfect
kovhal,/koɸaʎ/,part.,undefined
koz,/koθ/ [kos],nin.,alibi
kozav,/koθav/,nan.,grandmother
kozmiei,/koθmieɟ/,num.,billion
ksa,/ksa/,nin.,place; location; address
ksa,/ksa/,v.,place
ksaajeg,/ksaaɟeɣ/ [ksaːɟeɣ],adj.,rough
ksaar,/ksaaɾ/ [ksaːɾ],adj.,absurd
ksaat,/ksaat/ [ksaːt],nin.,reward; award; prize; medal
ksada,/ksada/,nan.,chicken; fowl; poultry
ksaemar,/ksaemaɾ/,v.,bust
ksaep,/ksaep/,nin.,shelter; shack
ksaevmer,/ksaevmeɾ/,adj.,naked; nude
ksagagin,/ksaɣaɣin/,v.,taste
ksahiz,/ksahiθ/ [ksahis],adj.,general
ksaigshol,/ksaiɣʃoʎ/,nin.,sock
ksail,/ksaiʎ/,nin.,greed
ksailo,/ksaiʎo/,adj.,greedy
ksaisvi,/ksaisvi/,nin.,kidney
ksajirjet,/ksaɟiɾɟet/,nin.,coconut
ksajur,/ksaɟuɾ/,nin.,slope; slant; ramp
ksakib,/ksakib/,adj.,straight; steep
ksakso,/ksakso/,nin.,scale (skin of reptiles)
ksaksoko,/ksaksoko/,nin.,distance; range; span
ksaksokovh,/ksaksokoɸ/,adj.,distant
ksale,/ksaʎe/,nin.,flaw; defect
ksameb,/ksameb/,nan.,victim; prey
ksana,/ksana/,v.,cling
ksanes,/ksanes/,nin.,trap; bait
ksaobub,/ksaobub/,nin.,taxi; cab
ksaog,/ksaoɣ/,nin.,patriot
ksaom,/ksaom/,nin.,course (direction of travel); direction (way)
ksaor,/ksaoɾ/,v.,listen
ksaotag,/ksaotaɣ/,adj.,instant
ksaotzez,/ksaotθeθ/ [ksaotθes],nin.,embassy
ksapaz,/ksapaθ/ [ksapas],nan.,bully
ksased,/ksased/,nin.,room (of house)
ksasui,/ksasuɟ/,adj.,pretty
ksateda,/ksateda/,adj.,casual
ksato,/ksato/,num.,one
ksatotes,/ksatotes/,nin.,task; chore
ksatu,/ksatu/,nin.,event (occurrence); incident
ksaubak,/ksaubak/,nin.,complex
ksaudsha,/ksaudʃa/,nin.,city
ksaudshavh,/ksaudʃaɸ/,adj.,urban
ksaui,/ksauɟ/,adj.,purple
ksava,/ksava/,nan.,virgin
ksaveic'et,/ksaveɟʧet/,v.,cooperate; collaborate
ksavhuja,/ksaɸuɟa/,nin.,bell
ksavöit,/ksavoit/,adj.,free
ksavöit avhense,/ksavoit aɸense/,nin.,leisure
ksaziilo,/ksaθiɟʎo/,nin.,effort
kse,/kse/,nin.,concept; belief; opinion; dream
kse,/kse/,det.,to the; to a
kseam,/kseam/,nin.,sugar
kseamrud,/kseamɾud/ [kseamɯud],nin.,meal
kseamrudui,/kseamɾuduɟ/ [kseamɯuduɟ],nin.,restaurant
ksean,/ksean/,nin.,universe
ksearpun,/kseaɾpun/,nan.,assassin
ksearpuna,/kseaɾpuna/,v.,assassinate
kseat,/kseat/,nin.,hoax
ksebu,/ksebu/,nin.,matter (substance; material); content
ksec'iish,/kseʧiiʃ/,nin.,revolution
ksede,/ksede/,nin.,screw
ksedebok,/ksedebok/,nin.,strength
ksedeboko,/ksedeboko/,adj.,strong
kseded,/kseded/,nin.,pasta
ksedi,/ksedi/,nin.,passion
ksedoog,/ksedooɣ/ [ksedoːɣ],v.,trick; deceive; distort; bluff
kseetli,/kseetʎi/,v.,forge; mold
ksegeb,/kseɣeb/,v.,afford
ksegol,/kseɣoʎ/,adj.,physical; tangible
ksegugod,/kseɣuɣod/,nin.,mafia; mob
ksegum,/kseɣum/,adv.,too; so; also; as well
ksehor,/ksehoɾ/,nan.,prostitute
ksehuzeb,/ksehuθeb/,v.,register; book
ksëid,/kseid/ [kseːd],nin.,casino
ksëigpus,/kseiɣpus/,nin.,silver; money
kseksa,/kseksa/,adj.,private
kseksavhal,/kseksaɸaʎ/,nin.,militia
ksekub,/ksekub/,nan.,partner; spouse; ally
ksekuvhvud,/ksekuɸvud/,nin.,triangle
kselodksi,/kseʎodksi/,adj.,classic
ksena,/ksena/,v.,hint
ksena,/ksena/,nin.,hint
ksenednez,/ksenedneθ/ [ksenednes],v.,qualify
ksenembez,/ksenembeθ/ [ksenembes],adj.,rigorous
kseogvut,/kseoɣvut/,v.,attract; lure; seduce; fascinate
ksepezo,/ksepeθo/,nin.,cliff
ksepoek,/ksepoek/,nin.,continent
kserovhduz,/kseɾoɸduθ/ [kseɾoɸdus],nin.,crowd; audience
kseshijal,/kseʃiɟaʎ/,adj.,plain
kseshosed,/kseʃosed/,nin.,license
kseshur,/kseʃuɾ/,v.,announce; proclaim; affirm; testify
ksesin,/ksesin/,nin.,lens
ksesod,/ksesod/,nin.,potion; elixir
kset,/kset/,v.,believe
ksetabsa,/ksetabsa/,adj.,ugly; awful; terrible
ksetu,/ksetu/,nin.,artery
kseumuv,/kseumuv/ [kseumuɸ],v.,owe
ksevi,/ksevi/,v.,discriminate
ksevivha,/kseviɸa/,v.,vomit
ksevu,/ksevu/,nin.,vinegar
ksevumim,/ksevumim/,conj.,or
ksezumo,/kseθumo/,nin.,debt
ksezuzshi,/kseθuθʃi/,nin.,badge
ksi,/ksi/,conj.,neither; nor
ksiader,/ksiadeɾ/,v.,recycle
ksiai,/ksiaɟ/,nin.,eclipse
ksiar,/ksiaɾ/,v.,cost
ksiar,/ksiaɾ/,nin.,cost
ksiaro,/ksiaɾo/,adj.,expensive
ksias,/ksias/,nin.,jaw
ksiasli,/ksiasʎi/,nin.,sorrow
ksiatkso,/ksiatkso/,v.,torture; oppress
ksiazte,/ksiaθte/,adj.,wise
ksibir,/ksibiɾ/,v.,glance
ksiboz,/ksiboθ/ [ksibos],adj.,skinny
ksido,/ksido/,nin.,prey
ksienksu,/ksienksu/,nin.,province
ksigatc'u,/ksiɣatʧu/,nin.,painting
ksiib,/ksiib/,nin.,mathematics
ksiket,/ksiket/,v.,polish
ksiki,/ksiki/,adj.,manual
ksiksa,/ksiksa/,v.,flick
ksiksure,/ksiksuɾe/,adj.,intense
ksilab,/ksiʎab/,nin.,wealth
ksilabo,/ksiʎabo/,adj.,rich
ksilajiv,/ksiʎaɟiv/ [ksiʎaɟiɸ],v.,stress
ksilurad,/ksiʎuɾad/,nin.,canoe
ksiluvhat,/ksiʎuɸat/,nin.,potato
ksimoel,/ksimoeʎ/,v.,diagnose
ksimu,/ksimu/,nan.,lion
ksimulna,/ksimuʎna/,nin.,block
ksino,/ksino/,nin.,coral
ksinuvun,/ksinuvun/,adv.,soon
ksioz,/ksioθ/ [ksios],nin.,west
ksisa,/ksisa/,v.,remove; take out; deprive; take away; expel; evacuate
ksishiz,/ksiʃiθ/ [ksiʃis],nan.,daughter
ksishouk,/ksiʃouk/,v.,evoke; provoke
ksishuzse,/ksiʃuθse/,nan.,devil
ksitostu,/ksitostu/,v.,consider
ksiubned,/ksiubned/,nin.,garbage; trash; rubbish
ksiuk,/ksiuk/,v.,stab
ksiuk unvit,/ksiuk unvit/,nin.,dagger
ksivar,/ksivaɾ/,adj.,aesthetic
ksivasksi,/ksivasksi/,adv.,back
ksivasksi vhikso,/ksivasksi ɸikso/,nin.,backpack
ksivhaksa,/ksiɸaksa/,v.,trade
ksivhargo,/ksiɸaɾɣo/,nin.,site
ksivhe,/ksiɸe/,nin.,option
ksivhut,/ksiɸut/,v.,clear
ksivhuti,/ksiɸuti/,v.,hiss
ksivhutu,/ksiɸutu/,adv.,clearly
ksivid,/ksivid/,nin.,bump
ksiwon,/ksiwon/,adj.,red
kso,/kso/,det.,from the; from some
kso,/kso/,part.,undefined
ksoab,/ksoab/,nin.,overdose
ksoaini,/ksoaɟni/,v.,direct; conduct
ksoar,/ksoaɾ/,nin.,colony; flock
ksobat,/ksobat/,v.,revise
ksobiz,/ksobiθ/ [ksobis],nan.,rabbit
ksoc'armo,/ksoʧaɾmo/,nan.,dove
ksoc'ut,/ksoʧut/,nin.,cigarette; cigar
ksodo,/ksodo/,nin.,habitat
ksodoikse,/ksodoɟkse/,nin.,tail
ksohuvhig,/ksohuɸiɣ/,nin.,towel
ksojab,/ksoɟab/,nin.,pasture; meadow; prairie
ksojeku,/ksoɟeku/,v.,lose
ksojekuan,/ksoɟekuan/,nin.,loss
ksojen,/ksoɟen/,conj.,unless
ksokazo,/ksokaθo/,nin.,paw
ksokelo,/ksokeʎo/,adj.,warm
ksoki,/ksoki/,nin.,saw
ksoksaum,/ksoksaum/,nin.,oval
ksoksunel,/ksoksuneʎ/,nin.,prism
ksomorit,/ksomoɾit/,adj.,foreign
ksomoritob,/ksomoɾitob/,nan.,foreigner
ksonaut,/ksonaut/,v.,eat; drink
ksonaut niudksu,/ksonaut niudksu/,nin.,pub
ksonauto,/ksonauto/,adj.,drunk (inebriated)
ksonervhe,/ksoneɾɸe/,nin.,pulse; rhythm
ksoongiz,/ksoonɣiθ/ [ksoːnɣis],v.,quote
ksopi,/ksopi/,nin.,seaweed
ksopole,/ksopoʎe/,nin.,diet
ksoriom,/ksoɾiom/,nin.,drink; beverage
ksosuz,/ksosuθ/ [ksosus],adj.,keen
ksotuju,/ksotuɟu/,conj.,until
ksotuksa,/ksotuksa/,v.,cuddle
ksounig,/ksouniɣ/,v.,steer
ksove,/ksove/,nin.,castle; palace
ksovhodgir,/ksoɸodɣiɾ/,nin.,top (clothing)
ksovunjo,/ksovunɟo/,nin.,handcuff
ksoweut,/ksoweut/,v.,knock
ksowo,/ksowo/,v.,skid
ksu,/ksu/,nin.,height; altitude
ksuasel,/ksuaseʎ/,nin.,right; entitlement
ksubenob,/ksubenob/,nin.,direction (way)
ksubuka,/ksubuka/,nin.,lap
ksudebu,/ksudebu/,adj.,curious
ksudim,/ksudim/,nin.,virus; germ; venom
ksueg,/ksueɣ/,nin.,soup; broth
ksuer,/ksueɾ/,adj.,damp; moist
ksuerob,/ksueɾob/,nin.,moisture
ksueslir,/ksuesʎiɾ/,v.,bid
ksuevhab,/ksueɸab/,nin.,south
ksuez,/ksueθ/ [ksues],nan.,monster; beast
ksujavhos,/ksuɟaɸos/,v.,buy; purchase; shop
ksujuan,/ksuɟuan/,nin.,dump
ksukevhso,/ksukeɸso/,v.,pick
ksuki,/ksuki/,nin.,step (one level of stairs)
ksukoksi,/ksukoksi/,nin.,criteria
ksuksake,/ksuksake/,nin.,galaxy
ksuksakse,/ksuksakse/,v.,ache
ksuksiwe,/ksuksiwe/,nin.,breed
ksuksovi,/ksuksovi/,nin.,year
ksuksovi avhense,/ksuksovi aɸense/,nin.,season (quarter of the year)
ksukui,/ksukuɟ/,nin.,foam
ksulem,/ksuʎem/,nin.,seat; chair; buttocks; lounge; couch; sofa
ksulobmei,/ksuʎobmeɟ/,v.,encounter; confront
ksulukso,/ksuʎukso/,v.,wish
ksumid,/ksumid/,nin.,basket
ksununvum,/ksununvum/,v.,export
ksuochmot,/ksuoʧmot/,nin.,question
ksuorksu,/ksuoɾksu/,adj.,minor; mere
ksuoshvhus,/ksuoʃɸus/,num.,thousand
ksupomad,/ksupomad/,nin.,privilege
ksusheksu,/ksuʃeksu/,nin.,minute
ksushes,/ksuʃes/,v.,extract; pluck
ksushi,/ksuʃi/,v.,supervise
ksusho,/ksuʃo/,adj.,thin (narrow)
ksutuvhkun,/ksutuɸkun/,nin.,flame
ksuuk,/ksuuk/ [ksuːk],nin.,screen; umbrella
ksuum,/ksuum/ [ksuːm],v.,faint
ksuunav,/ksuunav/ [ksuːnav],v.,bump
ksuusos,/ksuusos/ [ksuːsos],nin.,step (footstep)
ksuuvlod,/ksuuvʎod/ [ksuːvʎod],adv.,therefore; thus
ksuvaz,/ksuvaθ/ [ksuvas],nin.,demographic
ksuvh,/ksuɸ/,adj.,high
ksuvh c'ibab,/ksuɸ ʧibab/,nin.,upper class
ksuvo,/ksuvo/,adj.,loyal
ksuzaikse,/ksuθaɟkse/,nin.,pencil
ksuzos,/ksuθos/,nin.,carpet; rug
ku,/ku/,v.,laugh
ku,/ku/,nin.,laugh
kubmeiti,/kubmeɟti/,nin.,beard; mane
kudamach,/kudamaʧ/,nan.,bug; insect
kudvhejur,/kudɸeɟuɾ/,v.,pass; cross; occur
kuem,/kuem/,v.,giggle
kui,/kuɟ/,nin.,orgasm
kui,/kui/,conj.,or
kukem,/kukem/,interj.,welcome
kuksumas,/kuksumas/,nin.,proverb
kuloti,/kuʎoti/,v.,come; become (change into); get; reach; occur; happen
kum,/kum/,nin.,herb
kumilai,/kumiʎaɟ/,nin.,bargain; discount
kunuzvum,/kunuθvum/,adj.,benign
kuob,/kuob/,v.,surround
kupeshi,/kupeʃi/,nin.,angle; corner
kuriz,/kuɾiθ/ [kuɾis],adj.,usual
kurizu,/kuɾiθu/,adv.,usually
kurjul,/kuɾɟuʎ/,v.,command; dominate
kusuvum,/kusuvum/,adj.,calm; sober
kutksehem,/kutksehem/,nin.,kind; type
kuukne,/kuukne/ [kuːkne],v.,enhance; amend
la,/ʎa/,nin.,condition (requirement; stipulation)
labtezsha,/ʎabteθʃa/,v.,regret; lament
lad,/ʎad/,adv.,here
laidle,/ʎaidʎe/,adj.,compatible
laikso,/ʎaɟkso/,adj.,exact; precise
laiksoi,/ʎaɟksoɟ/,adv.,exactly
lain,/ʎain/,v.,date; go out; escort
lairuan,/ʎaɟɾuan/ [ʎaɟɯuan],nin.,palm (of hand)
laisno,/ʎaisno/,v.,skim
lajushot,/ʎaɟuʃot/,v.,cater
lakoc / ekoc,/ʎakoc / ekoc/ [ʎakos / ekos],pron.,we; us; ours
lalkuei,/ʎaʎkueɟ/,nin.,justice
lam,/ʎam/,nan.,cousin
lamksoab,/ʎamksoab/,nin.,lottery
laop,/ʎaop/,nan.,expert; specialist
lapa,/ʎapa/,v.,surprise; astonish
lapul,/ʎapuʎ/,nin.,contact
laudav,/ʎaudav/ [ʎaudaɸ],nin.,lid; roof; ceiling; canopy; maximum
lazc'et,/ʎaθʧet/ [ʎaʃet],v.,miss (not hit)
lazeivha,/ʎaθeɟɸa/,nin.,poem
le,/ʎe/,prep.,according to
lebeshu,/ʎebeʃu/,nin.,brass
ledi,/ʎedi/,nin.,sword
lehedut,/ʎehedut/,adj.,sole; lone
leiren,/ʎeɟɾen/ [ʎeɟɯen],nin.,stitch
lejorpen,/ʎeɟoɾpen/,nin.,patent
leksuza,/ʎeksuθa/,adj.,pink
lekur,/ʎekuɾ/,nin.,cuff
lel,/ʎeʎ/,v.,answer; reply
lel,/ʎeʎ/,nin.,answer
lelgis,/ʎeʎɣis/,nin.,blur
lembu,/ʎembu/,v.,permit
lemrous,/ʎemɾous/ [ʎemɯous],v.,inquire
leo,/ʎeo/,num.,three
leog,/ʎeoɣ/,v.,assign
lerivuv,/ʎeɾivuv/,nin.,loop; curl
leroc / eroc,/ʎeɾoc / eɾoc/ [ʎeɾos / eɾos],pron.,they; them; theirs
lesksu,/ʎesksu/,adj.,slow
levhle,/ʎeɸʎe/,adj.,quiet; silent; shy; gentle
levhleob,/ʎeɸʎeob/,nin.,silence
levhot,/ʎeɸot/,nan.,boy
levizid,/ʎeviθid/,nin.,metro
li,/ʎi/,v.,kiss
libaros,/ʎibaɾos/,conj.,than
liblabes,/ʎibʎabes/,v.,smile
lid,/ʎid/,nin.,gravel
lid,/ʎid/,part.,undefined
lii,/ʎiɟ/,nin.,boot
liikii,/ʎiikiɟ/,nan.,spider
liiseka,/ʎiɟseka/,nin.,school
liksu,/ʎiksu/,v.,settle
liksuan,/ʎiksuan/,nin.,settlement (village)
lilbi,/ʎiʎbi/,nin.,meat; flesh
lilbushu,/ʎiʎbuʃu/,nin.,glove
lim,/ʎim/,adj.,right (direction)
linsoz,/ʎinsoθ/ [ʎinsos],nan.,vulture
lipi,/ʎipi/,nin.,surface; skin
lipoc / epoc,/ʎipoc / epoc/ [ʎipos / epos],pron.,you all; yours (pl)
lis,/ʎis/,pron.,anything
litzol,/ʎitθoʎ/,v.,hike
livi,/ʎivi/,v.,miss (long for)
livoi,/ʎivoɟ/,v.,reserve
livojan,/ʎivoɟan/,nin.,reservation
liz,/ʎiθ/ [ʎis],v.,nominate
lizpa,/ʎiθpa/,nin.,media
loadgi,/ʎoadɣi/,nan.,master; boss
loan,/ʎoan/,v.,experience
loanan,/ʎoanan/,nin.,experience
lobalin,/ʎobaʎin/,prep.,in; within; into
lod,/ʎod/,v.,populate
lodo,/ʎodo/,nin.,population
loevdom,/ʎoevdom/,nin.,tool; appliance
loic'aku,/ʎoɟʧaku/,v.,flash; blink
lokom,/ʎokom/,nan.,peasant
loksabos,/ʎoksabos/,adv.,most
lom,/ʎom/,v.,breathe
lon,/ʎon/,nin.,apple
lonezvhub,/ʎoneθɸub/,nin.,scrap
lonil,/ʎoniʎ/,v.,stir; toss; stoke
lonivme,/ʎonivme/,nin.,composite
lor,/ʎoɾ/,nin.,horizon
lot,/ʎot/,nin.,liver
lou,/ʎou/,part.,place indicator particle: {location} + part
loudkas,/ʎoudkas/,nin.,spinach
lovhkal,/ʎoɸkaʎ/,v.,depend; rely on
lovhulin,/ʎoɸuʎin/,v.,obsess
loz,/ʎoθ/ [ʎos],v.,animate
lozvhatza,/ʎoθɸatθa/,nin.,fairy
lu,/ʎu/,nin.,ash
luboirab,/ʎuboɟɾab/ [ʎuboɟɯab],v.,breed
ludumi,/ʎudumi/,v.,confine
lugub,/ʎuɣub/,nin.,oxygen
luksëin,/ʎuksein/ [ʎukseːn],nin.,lunch
lumbis,/ʎumbis/,v.,mean (signify); express
lunku,/ʎunku/,v.,sip
lunzot,/ʎunθot/,adj.,fine (okay)
lur,/ʎuɾ/,nan.,shark
lutem,/ʎutem/,adj.,famous
luuzan,/ʎuuθan/ [ʎuːθan],v.,rule
luvhkei,/ʎuɸkeɟ/,nin.,joke; humor
luwo,/ʎuwo/,v.,copy; imitate; mimic; mock
luze,/ʎuθe/,v.,stick
luzeb,/ʎuθeb/,adj.,sticky
ma,/ma/,part.,undefined
ma,/ma/,part.,undefined
maag,/maaɣ/ [maːɣ],nin.,water; mirror; sap
mab,/mab/,v.,choose; s
maban,/maban/,nin.,choice
madkarlor,/madkaɾʎoɾ/,v.,terminate
mae,/mae/,num.,six
maemuv,/maemuv/ [maemuɸ],v.,nap
magol,/maɣoʎ/,v.,prowl
mai,/maɟ/,v.,shave; graze (touch)
maisnut,/maisnut/,v.,wash; rinse; flush
maksunat,/maksunat/,v.,acquire
mal,/maʎ/,nin.,tribe; kin
maleh,/maʎeh/ [maʎe],v.,distract
mam,/mam/,v.,sit
man,/man/,conj.,although; though
maozuz,/maoθuθ/ [maoθus],nin.,mold
mapon,/mapon/,nin.,dairy
masvoksi,/masvoksi/,v.,seem; appear; imply; reveal; expose
masvoksian,/masvoksian/,nin.,appearance (act of appearing)
mat,/mat/,nin.,tradition
matapga,/matapɣa/,v.,slide; skate
matirba,/matiɾba/,v.,spill
matnuwe,/matnuwe/,adj.,bizarre
mavhbu,/maɸbu/,nin.,paradox
mavhjar,/maɸɟaɾ/,nin.,row
mavisom,/mavisom/,nin.,possibility
mavisomo,/mavisomo/,adj.,possible
maz,/maθ/ [mas],v.,carry
mazunso,/maθunso/,nin.,bay; harbor
mazushse,/maθuʃse/,v.,regard; deem
mec'un,/meʧun/,nin.,juice
medkeb,/medkeb/,nin.,hallway; corridor
medvhe,/medɸe/,v.,discourage; deter
mëidzud,/meidθud/,v.,meet; find; encounter
mëidzudo,/meidθudo/ [meːdθudo],nin.,meeting
mejuar,/meɟuaɾ/,adj.,sore
mel,/meʎ/,v.,crush; grind; crumple; ruffle
melug,/meʎuɣ/,v.,annoy; bother; agitate
memvhomta,/memɸomta/,nin.,tattoo
men,/men/,v.,destroy; devastate
menan,/menan/,nin.,destruction
menas,/menas/,conj.,but
menpa,/menpa/,v.,play (have fun); compete
meopre,/meopɾe/ [meopɯe],nin.,fan
merener,/meɾeneɾ/,nin.,parcel; package; bundle
merepal,/meɾepaʎ/,nin.,bud
met,/met/,part.,undefined
metbibju,/metbibɟu/,nin.,rubber; tire
mevhvhobpit,/meɸɸobpit/,v.,show; demonstrate
mi,/mi/,adj.,small; little; short; low; miniature; narrow
mi nomipot,/mi nomipot/,nin.,village
mian,/mian/,nin.,revenge
mib,/mib/,v.,foresee; anticipate; predict
mibc'ivhkso,/mibʧiɸkso/,adj.,convenient
mibo,/mibo/,prep.,after
mibo widal,/mibo widaʎ/,nin.,afternoon
midezur,/mideθuɾ/,adj.,gorgeous
midksa,/midksa/,part.,undefined
migud,/miɣud/,nin.,throne
miibshod,/miibʃod/,nin.,loaf
mil,/miʎ/,adj.,bankrupt; broke
mim,/mim/,det.,to the; to a
minlidzam,/minʎidθam/,num.,eight
minotksa,/minotksa/,adv.,well
miodsid,/miodsid/,nin.,cube
mir,/miɾ/,v.,pant
mishumel,/miʃumeʎ/,nin.,play (stage play)
mispagas,/mispaɣas/,nin.,scale (instrument for weighing)
misut,/misut/,v.,harass
mitorod,/mitoɾod/,nin.,success; benefit; profit
mitorodo,/mitoɾodo/,adj.,successful
mitzuab,/mitθuab/,part.,undefined
miutji,/miutɟi/,nin.,rain
miutji gavhmaz,/miutɟi ɣaɸmaθ/ [miutɟi ɣaɸmas],nin.,rainbow
mo,/mo/,adj.,pure; wholesome; moral
mod,/mod/,v.,print
moebuz,/moebuθ/ [moebus],adj.,white
moebuz dingova,/moebuθ dinɣova/ [moebus dinɣova],nin.,cabbage
moi,/moɟ/,v.,surrender; give up
möit,/moit/ [miːt],nin.,finger; hook
möit givuz,/moit ɣivuθ/ [miːt ɣivus],nin.,fingerprint
mol,/moʎ/,nin.,top; mountain
mom,/mom/,det.,the; some
momc'at,/momʧat/,v.,assemble; congregate; summon
monok,/monok/,adv.,today
mordumui,/moɾdumuɟ/,adj.,noble
morip,/moɾip/,adj.,brown
mos,/mos/,part.,must
moser,/moseɾ/,v.,enter
moseran,/moseɾan/,nin.,entrance
moush,/mouʃ/,nan.,kid
mu,/mu/,v.,lead
muak,/muak/,v.,stain
muap,/muap/,nin.,country (nation); state (province; country)
muap oh,/muap oh/ [muap o],nan.,citizen
mub,/mub/,nin.,slice; portion
mub,/mub/,det.,the; some
mubal,/mubaʎ/,nin.,link
mubotim,/mubotim/,v.,call (refer to by name); dub
mubtat,/mubtat/,adj.,mobile; portable
mud,/mud/,nin.,load
mudge,/mudɣe/,adj.,loud; noisy
muegmu,/mueɣmu/,nin.,lease
mui,/muɟ/,nin.,program
muksovha,/muksoɸa/,nin.,period (duration of time)
mumastol,/mumastoʎ/,nin.,file; record (written account); data
mumshorab,/mumʃoɾab/,nin.,adventure
mun,/mun/,num.,second
murjovhpu,/muɾɟoɸpu/,v.,splash; spray
mus,/mus/,nin.,ethic
mut,/mut/,part.,undefined
mutet,/mutet/,prep.,like
mutvhovhek,/mutɸoɸek/,v.,last
muvhduvhpi,/muɸduɸpi/,v.,comply; conform
na,/na/,nan.,brother
nabksamil,/nabksamiʎ/,nin.,total
nahu,/nahu/,adj.,fat; big
nahuob,/nahuob/,nin.,fat (bodily substance)
nait,/nait/,nin.,barrel
najor,/naɟoɾ/,v.,scare; frighten; startle
najorpu,/naɟoɾpu/,nin.,speed; velocity
naldizal,/naʎdiθaʎ/,part.,undefined
nalksuov,/naʎksuov/,nin.,price; fee; bill; check; tariff
nar,/naɾ/,nin.,claw
naraz,/naɾaθ/ [naɾas],v.,smell (sense with nose)
narnevha,/naɾneɸa/,v.,rehearse; recite
nasbaza,/nasbaθa/,v.,encourage; advocate
nasuchpa,/nasuʧpa/,v.,bless
nat,/nat/,nin.,mill
navhikes,/naɸikes/,nin.,wagon
navhoc'ir,/naɸoʧiɾ/,v.,perform
navhvhomksu,/naɸɸomksu/,adj.,rare; funny
ne,/ne/,v.,stand
ne,/ne/,det.,the; a
ne,/ne/,part.,subject particle: {subj} + part
nebc'o,/nebʧo/,adj.,necessary
nebute,/nebute/,adj.,coherent
nebuz,/nebuθ/ [nebus],nin.,rust
nëig,/neiɣ/ [neːɣ],prep.,inside
nëit,/neit/ [neːt],nin.,trousers; pants
nëit vhikso,/neit ɸikso/ [neːt ɸikso],nin.,pocket
nekse,/nekse/,nin.,trophy; souvenir
neksuzi,/neksuθi/,nin.,authority
neksuzit,/neksuθit/,v.,authorize
nelre,/neʎɾe/ [neʎɯe],nin.,catalog
nemomim,/nemomim/,v.,confess
nen,/nen/,nin.,machine
nenabdi,/nenabdi/,v.,notify; inform
nentadup,/nentadup/,v.,imagine; devise; come up with
neosh,/neoʃ/,nin.,wood
neosh visamnot,/neoʃ visamnot/,nin.,bark (of tree)
ner,/neɾ/,nin.,pastry
nerge,/neɾɣe/,v.,recover
nesbid,/nesbid/,v.,extinguish; put out
nese,/nese/,nin.,sense
neshan,/neʃan/,nin.,desk
netlu,/netʎu/,prep.,for (a period of time or length of distance)
neto,/neto/,nin.,front; facade
neuiran,/neuɟɾan/ [neuɟɯan],nin.,pea
nevashi,/nevaʃi/,adj.,formal
nevhim,/neɸim/,nin.,closure
nevhlonich,/neɸʎoniʧ/,v.,tackle
nez,/neθ/ [nes],nin.,sentence
ni,/ni/,nin.,air
niar,/niaɾ/,nan.,pig; pork
nigat,/niɣat/,v.,offend
nigata,/niɣata/,adj.,offensive
nii,/niɟ/,v.,miss (not take advantage of)
niiveop,/niɟveop/,adj.,abundant; lush
niivhne,/niiɸne/,nin.,average
nim,/nim/,nin.,footpath; sidewalk
nimol,/nimoʎ/,pron.,none
nimvar,/nimvaɾ/,nin.,stalemate
nir,/niɾ/,adj.,mature; ripe
nirdu,/niɾdu/,nan.,husband
niread,/niɾead/,adj.,precious
